Image,Predicted,True,Diff,Predict,Miss
7144,51G20536,51G20536,0,1,0
7145,51G20536,51G20536,0,1,0
7146,51F78904,51F78904,0,1,0
7214,15A5380,51F15380,1,1,1
7215,15A5381,51F15380,1,1,1
7290,51F21255,51F21255,0,1,0
7291,51F21255,51F21255,0,1,0
7340,51F69259,51F69259,0,1,0
7341,51F69259,51F69259,0,1,0
7342,51F13251,51F13251,0,1,0
7343,51F13251,51F13251,0,1,0
7430,29A23950,29A23950,0,1,0
7431,29A23950,29A23950,0,1,0
7518,51G48154,51G48154,0,1,0
7519,51G48154,51G48154,0,1,0
7544,51F77836,51F77836,0,1,0
7545,51F77836,51F77836,0,1,0
7638,51F98466,51F98466,0,1,0
7639,51F98466,51F98466,0,1,0
7678,51F58214,51F58214,0,1,0
7679,51F58214,51F58214,0,1,0
7680,51F21255,51F21255,0,1,0
7681,51F21255,51F21255,0,1,0
7708,51F27809,51F27809,0,1,0
7709,51F27809,51F27809,0,1,0
7710,51G20536,51G20536,0,1,0
7987,51G10096,51G10096,0,1,0
8004,51A75932,51A75932,0,1,0
8005,51A75932,51A75932,0,1,0
8776,51A05227,51A05227,0,1,0
8777,51A05227,51A05227,0,1,0
8814,51F09881,51F59881,1,1,0
8815,51F54988,51F59881,1,1,0
8834,51A01204,51A01204,0,1,0
8835,51A01204,51A01204,0,1,0
8864,51F06948,51F06948,0,1,0
8865,51F06948,51F06948,0,1,0
8882,51F07973,51F07973,0,1,0
8908,51F61712,51F61712,0,1,0
8909,51F61712,51F61712,0,1,0
8920,51A55433,51A55433,0,1,0
8921,51A55433,51A55433,0,1,0
8966,51F63034,51F63034,0,1,0
8967,51D30343,51F63034,1,1,0
8994,51A69172,51A69172,0,1,0
8995,51A69172,51A69172,0,1,0
9022,51G51008,51G51008,0,1,0
9023,51G51008,51G51008,0,1,0
9042,51F35613,51F35613,0,1,0
9043,51F35613,51F35613,0,1,0
9049,,51A72110,1,1,0
9056,51A96141,51A96141,0,1,0
9057,51A91614,51A96141,1,1,0
9058,51A96141,51A96141,0,1,0
9059,51A96142,51A96141,1,1,0
9074,51F44614,51F44614,0,1,0
9075,51F44614,51F44614,0,1,0
9096,51F24403,51F24403,0,1,0
9097,51F24403,51F24403,0,1,0
9145,51F75326,51F75326,0,1,0
9156,51G51332,51G51332,0,1,0
9180,51F15585,51F15585,0,1,0
9181,51F15585,51F15585,0,1,0
9182,51F15585,51F15585,0,1,0
9183,51F15585,51F15585,0,1,0
9226,60A35981,60A35981,0,1,0
9227,60A35981,60A35981,0,1,0
9244,51F04877,51F04877,0,1,0
9256,51F59011,51F59011,0,1,0
9257,51F59011,51F59011,0,1,0
9296,51G20536,51G20536,0,1,0
9297,51G20536,51G20536,0,1,0
9298,51F78904,51F78904,0,1,0
9299,51F78904,51F78904,0,1,0
9390,51G51936,51G51936,0,1,0
9391,51G51936,51G51936,0,1,0
9446,51F21255,51F21255,0,1,0
9447,51F21255,51F21255,0,1,0
9496,51F69259,51F69259,0,1,0
9497,51F69259,51F69259,0,1,0
9498,51F13251,51F13251,0,1,0
9499,51F13251,51F13251,0,1,0
9584,29A23950,29A23950,0,1,0
9585,29A23950,29A23950,0,1,0
9672,51G48154,51G48154,0,1,0
9673,51G48154,51G48154,0,1,0
9701,51F77836,51F77836,0,1,0
9794,51F98466,51F98466,0,1,0
9834,31A41711,51F58214,1,1,0
9836,51F21255,51F21255,0,1,0
9837,51F21255,51F21255,0,1,0
9838,50Z0618,50Z0618,0,1,0
9839,50Z0618,50Z0618,0,1,0
9864,51F27809,51F27809,0,1,0
9865,51F27809,51F27809,0,1,0
9866,51G20536,51G20536,0,1,0
10148,51G10096,51G10096,0,1,0
10149,51G10096,51G10096,0,1,0
10690,51A65474,51A65474,0,1,0
10691,51A65474,51A65474,0,1,0
10997,51A64826,51A64826,0,1,0
11024,51F86988,51F86988,0,1,0
11025,51F86988,51F86988,0,1,0
11044,52Y6490,52Y6490,0,1,0
11045,52Y6490,52Y6490,0,1,0
11084,51G49524,51G49524,0,1,0
11090,51A96141,51A96141,0,1,0
11118,51F79512,51F79512,0,1,0
11119,51F79512,51F79512,0,1,0
11172,29A51796,29A51796,0,1,0
11173,29A51796,29A51796,0,1,0
11210,51F68784,51F68784,0,1,0
11211,51F68784,51F68784,0,1,0
11276,30N4616,30N4616,0,1,0
11278,48A02666,48A02866,1,1,0
11279,48A02868,48A02866,1,1,0
11292,51G22807,51G22807,0,1,0
11473,51G49539,51G49539,0,1,0
11477,51G49539,51G49539,0,1,0
11508,43A18650,43A18650,0,1,0
11509,43A18850,43A18650,1,1,0
11564,51F73420,51F73420,0,1,0
11565,51F73420,51F73420,0,1,0
11664,41A08546,41A06546,1,1,0
11665,41A08548,41A06546,1,1,0
11842,51F89357,51F89357,0,1,0
11843,51F89357,51F89357,0,1,0
12214,51A64826,51A64826,0,1,0
12215,51A64826,51A64826,0,1,0
12244,51F86988,51F86988,0,1,0
12245,51F86988,51F86988,0,1,0
12264,52Y6490,52Y6490,0,1,0
12265,55Z16490,52Y6490,1,1,1
12304,51G49524,51G49524,0,1,0
12310,51A96141,51A96141,0,1,0
12311,51A91614,51A96141,1,1,0
12338,51F79512,51F79512,0,1,0
12430,51F68784,51F68784,0,1,0
12496,30N4616,30N4616,0,1,0
12497,30N4616,30N4616,0,1,0
12498,48A02866,48A02866,0,1,0
12499,48A02888,48A02888,0,1,0
12681,51G49539,51G49539,0,1,0
12684,51G49539,51G49539,0,1,0
12772,51F73420,51F73420,0,1,0
13386,51A05227,51A05227,0,1,0
13387,51A05227,51A05227,0,1,0
13416,51G21670,51G21670,0,1,0
13417,51G21670,51G21670,0,1,0
13451,51F59881,51F59881,0,1,0
13490,51A01204,51A01204,0,1,0
13491,51A01204,51A01204,0,1,0
13522,51F06948,51F06948,0,1,0
13523,51F06948,51F06948,0,1,0
13559,51G39466,51G39466,0,1,0
13562,51F07973,51F07973,0,1,0
13563,51F07973,51F07973,0,1,0
13601,51F61712,51F61712,0,1,0
13620,48A05177,48A05177,0,1,0
13621,48A05277,48A05177,1,1,0
13623,51F76354,51F76354,0,1,0
13638,51F88270,51F88270,0,1,0
13639,51F88270,51F88270,0,1,0
13707,56S4698,56S4698,0,1,0
13716,51F63034,51F63034,0,1,0
13717,51F63034,51F63034,0,1,0
13761,51A69172,51A69172,0,1,0
13764,52Y6490,52Y6490,0,1,0
13765,52Y6490,52Y6490,0,1,0
13768,51F16159,51F16159,0,1,0
13769,51F16159,51F16159,0,1,0
13796,61A22959,61A22959,0,1,0
13797,61Z2959,61A22959,1,1,1
13816,51G37675,51G37675,0,1,0
13832,51A89714,51A89714,0,1,0
13833,51A89714,51A89714,0,1,0
13869,51A7210,51A72110,1,1,1
13880,51A96141,51A96141,0,1,0
13940,51F24403,51F24403,0,1,0
13941,51F24403,51F24403,0,1,0
14000,51G37307,51G37307,0,1,0
14001,51G37307,51G37307,0,1,0
14002,51G31691,51G31691,0,1,0
14003,51G31691,51G31691,0,1,0
14004,51G31691,51G31691,0,1,0
14005,51G31691,51G31691,0,1,0
14017,51G51332,51G51332,0,1,0
14020,51G51332,51G51332,0,1,0
14052,51F15585,51F15585,0,1,0
14053,51F15585,51F15585,0,1,0
14084,51F22261,51F22261,0,1,0
14085,51F22261,51F22261,0,1,0
14114,60A35981,60A35981,0,1,0
14115,60A35981,60A35981,0,1,0
14117,60A35981,60A35981,0,1,0
14152,51F59011,51F59011,0,1,0
14153,51F59011,51F59011,0,1,0
14221,51F04275,51F04275,0,1,0
14254,51F32488,51F32488,0,1,0
14255,51F32488,51F32488,0,1,0
14842,51G44313,51G44313,0,1,0
14843,51G44313,51G44313,0,1,0
14844,51G47281,51G47281,0,1,0
14906,51F15585,51F15585,0,1,0
14907,51F15585,51F15585,0,1,0
15692,51F82606,51F82606,0,1,0
15693,51F82606,51F82606,0,1,0
15858,51F06532,51F06532,0,1,0
15886,51A72078,51A72078,0,1,0
15887,51A72078,51A72078,0,1,0
16037,51A77529,51A77529,0,1,0
16494,51G29034,51G29034,0,1,0
17000,51A05227,51A05227,0,1,0
17001,51A05227,51A05227,0,1,0
17030,51G21670,51G21670,0,1,0
17060,51F59881,51F59881,0,1,0
17061,51F59881,51F59881,0,1,0
17100,51A01204,51A01204,0,1,0
17101,51A01204,51A01204,0,1,0
17171,51G39466,51G39466,0,1,0
17174,51F07973,51F07973,0,1,0
17175,51F07973,51F07973,0,1,0
17210,51F61712,51F61712,0,1,0
17211,51F61712,51F61712,0,1,0
17228,48A05177,48A05177,0,1,0
17229,48A05177,48A05177,0,1,0
17246,51F88270,51F88270,0,1,0
17308,56S4698,56S4698,0,1,0
17309,56S4698,56S4698,0,1,0
17318,51F63034,51F63034,0,1,0
17319,51F63034,51F63034,0,1,0
17364,51A69172,51A69172,0,1,0
17368,52Y6490,52Y6490,0,1,0
17369,52Y6490,52Y6490,0,1,0
17370,51F16159,51F16159,0,1,0
17371,51F16159,51F16159,0,1,0
17400,61A22959,61A22959,0,1,0
17401,61A22959,61A22959,0,1,0
17420,51G37675,51G37675,0,1,0
17421,51G37675,51G37675,0,1,0
17436,51A89714,51A89714,0,1,0
17470,,51A72110,1,1,0
17540,51F24403,51F24403,0,1,0
17541,51F24403,51F24403,0,1,0
17602,51G31691,51G31691,0,1,0
17603,51G31691,51G31691,0,1,0
17614,51G51332,51G51332,0,1,0
17615,51G51332,51G51332,0,1,0
17618,51G51332,51G51332,0,1,0
17619,51G51332,51G51332,0,1,0
17652,51F15585,51F15585,0,1,0
17653,51F15585,51F15585,0,1,0
17684,51F22261,51F22261,0,1,0
17685,51F22261,51F22261,0,1,0
17717,60A35981,60A35981,0,1,0
17719,60A35981,60A35981,0,1,0
17754,51F59011,51F59011,0,1,0
17856,51F32488,51F32488,0,1,0
17857,51F32488,51F32488,0,1,0
18552,51G49539,51G49539,0,1,0
18553,51G49539,51G49539,0,1,0
18694,51F20754,51F20754,0,1,0
18695,51F20754,51F20754,0,1,0
18722,51F31118,51F31118,0,1,0
18723,51F31118,51F31118,0,1,0
18843,56D65321,51F06532,1,1,0
18976,,51A85325,1,1,0
18979,,51A85325,1,1,0
19472,51F06532,51F06532,0,1,0
19473,51F06532,51F06532,0,1,0
19500,51A72078,51A72078,0,1,0
